ds,y
2014-01-01,105421324
2014-01-02,123221770
2014-01-03,6662107
2014-01-04,201035389
2014-01-05,35549270
2014-01-06,1110949
2014-01-09,924031034
2014-01-10,878937673
2014-01-11,839320152
2014-01-12,951293068
2014-01-13,2771611469
2014-01-14,2319372901
2014-01-15,1856848929
2014-01-16,1838829911
2014-01-17,1476259427
2014-01-18,419926941
2014-01-19,556805764
2014-01-20,1279016380
2014-01-21,967731116
2014-01-22,1030938685
2014-01-23,1025752336
2014-01-24,992893220
2014-01-25,455201406
2014-01-26,350004484
2014-01-27,432882375
2014-01-28,500963588
2014-01-29,1188458263
2014-01-30,1512245550
2014-01-31,1726924507
2014-02-01,251041203
2014-02-02,416761050
2014-02-03,1360394318
2014-02-04,1353743119
2014-02-05,579643666
2014-02-06,833275285
2014-02-07,839281959
2014-02-08,338933456
2014-02-09,368503625
2014-02-10,1009590850
2014-02-11,1204899805
2014-02-12,1457609797
2014-02-13,1575965574
2014-02-14,1516782968
2014-02-15,760463769
2014-02-16,524548646
2014-02-17,538082122
2014-02-18,1576831789
2014-02-19,2377127348
2014-02-20,1156006308
2014-02-21,1565633989
2014-02-22,1097913461
2014-02-23,800801079
2014-02-24,1774675343
2014-02-25,1743329219
2014-02-26,1317382998
2014-02-27,1058709850
2014-02-28,1682017778
2014-03-01,651678438
2014-03-02,385717325
2014-03-03,1098923586
2014-03-04,1748228903
2014-03-05,1053348623
2014-03-06,1832454993
2014-03-07,2674496914
2014-03-08,900220346
2014-03-09,1137567662
2014-03-10,4087007812
2014-03-11,3438265129
2014-03-12,1133267859
2014-03-13,2055558686
2014-03-14,3686024797
2014-03-15,1587223082
2014-03-16,790240533
2014-03-17,2658829110
2014-03-18,4020251251
2014-03-19,2226665342
2014-03-20,3454786720
2014-03-21,4248283832
2014-03-22,1887157108
2014-03-23,996861352
2014-03-24,2825476216
2014-03-25,2545236906
2014-03-26,3031211811
2014-03-27,2324412071
2014-03-28,2880974798
2014-03-29,1826481836
2014-03-30,2802700439
2014-03-31,4903813836
2014-04-01,4329513757
2014-04-02,4250070548
2014-04-03,2139246160
2014-04-04,3111192768
2014-04-05,2865743502
2014-04-06,2873219061
2014-04-07,4932465954
2014-04-08,5641797872
2014-04-09,6882259231
2014-04-10,6578145827
2014-04-11,7542434733
2014-04-12,5264414712
2014-04-13,2247063520
2014-04-14,2225903686
2014-04-15,3186121660
2014-04-16,5239174788
2014-04-17,6389819541
2014-04-18,5448471741
